address,latitude,longitude,car_type,zoneId,zoneName
경기 의정부시 호원동 454-14,37.712055,127.046974,2,10679,망월사역 2번출구(나이스파킹)
경기 파주시 동패동1912,37.710369,126.738144,2,10686,운정 카페거리
경기 고양시 일산동구 백석동 1332-1 레이크하임,37.643719,126.786491,2,10688,백석역 4번출구(레이크하임오피스텔)
경기 성남시 수정구 양지동 535 양지주차장,37.457352,127.163063,2,10692,남한산성입구역(을지대학교)
경기 남양주시 금곡동 416-1 금곡프라자,37.6343,127.20771,2,10728,남양주 금곡사거리
경기 화성시 능동 1152-1 위너스프라자,37.200039,127.056229,2,10739,동탄 푸른마을
"경기 수원시 권선구 권선동 1189 터미널동, 할인점동",37.251003,127.019897,2,10751,수원버스터미널
경기 화성시 봉담읍 동화리 426-2,37.221214,126.951477,2,10760,화성 국민체육센터 앞
경기 평택시 신장동 298-57,37.079399,127.050186,2,10761,평택 프로방스레지던스
경기 고양시 덕양구 성사동 505 원당농협 성사지점,37.657223,126.838623,2,10770,원당농협 성사지점
경기 고양시 덕양구 삼송동 291 힐스테이트 삼송역,37.652561,126.896614,2,10820,힐스테이트 삼송역
경기 의왕시 고천동 234-6 의왕월드비젼,37.345348,126.974991,2,10824,의왕 월드비전
경기 부천시 원미구 상동 536-8,37.506828,126.755058,2,10859,상동역 7번출구
경기 시흥시 은행동 533,37.44421,126.798668,2,10896,시흥시 청소년수련관 앞
경기 용인시 기흥구 신갈동 63 기흥역롯데캐슬스카이,37.272121,127.108635,2,10908,롯데캐슬스카이
경기 평택시 비전동 1013-1 우리타워,37.003628,127.105354,2,10911,평택 경기마트
경기 화성시 남양읍 남양리 2076-11,37.200962,126.828224,2,10929,화성시청 옆
경기 연천군 전곡읍 전곡리 484-16,38.025707,127.067314,2,10946,전곡시외버스터미널 옆
경기 용인시 기흥구 구갈동 660 힐스테이트 기흥,37.274387,127.116707,2,10967,기흥역 4번출구
경기 김포시 풍무동 126-3,37.604767,126.72374,2,10977,풍무초등학교 옆
경기 화성시 영천동 680,37.206657,127.109688,2,10984,동탄 에이스케이씨티
경기 수원시 권선구 탑동 5-4 현대탑월드,37.275349,126.977448,2,10985,구운중학교 앞
경기 시흥시 은행동 606,37.446606,126.802605,2,10986,시흥 은계알파시티
경기 수원시 장안구 정자동 875 선일주차타운빌딩,37.296398,126.994736,2,10995,수원소방서 앞
경기 포천시 신읍동 84-6 리버빌,37.891399,127.195778,2,10997,포천 리버빌
경기 오산시 원동 335-10,37.141876,127.071281,2,10998,원동 르마레시티
경기 군포시 부곡동 1218-3 드림시티,37.336555,126.934906,2,11006,군포 드림시티
경기 포천시 신읍동 202-1,37.900524,127.205795,2,11007,GS슈퍼마켓 포천점
경기 안산시 단원구 고잔동 167-378,37.316086,126.839432,2,11027,중앙역 1번출구
경기 고양시 일산서구 덕이동 273-1,37.694157,126.760208,2,11036,탄현역 1번출구
경기 광명시 소하동 1313-4,37.449383,126.889503,2,11047,광명 타요키즈카페
경기 시흥시 정왕동 1854-1,37.352421,126.722015,2,11058,시흥 천마주차장
경기 시흥시 배곧동 223-1,37.367859,126.726593,2,11060,배곧 다인오피스텔9차
경기 의정부시 가능동 668-7,37.747032,127.035103,2,11062,의정부 가능초등학교 뒤
경기 구리시 갈매동 603,37.632523,127.116493,2,11063,갈매 중앙파크타워
경기 부천시 오정구 원종동 133-9,37.527138,126.803658,2,11065,원종고등학교 앞
경기 안양시 동안구 호계동 975-1,37.36631,126.95771,2,11070,안양 호계삼거리
경기 안산시 단원구 신길동 1631,37.330658,126.786186,2,11071,안산 이마트트레이더스 옆
경기 부천시 소사구 옥길동 777-4,37.462158,126.812698,2,11081,부천 옥길지구 서영아너시티
경기 부천시 오정구 고강동 319-6,37.528366,126.815475,2,11118,고강사거리
경기 안성시 아양동 278-5,37.006756,127.265305,2,11119,안성 내혜홀초등학교 뒤
경기 수원시 영통구 망포동 31-1,37.245861,127.052025,2,11132,유니클로 수원망포점
경기 용인시 기흥구 구갈동 657 기흥역 롯데캐슬 레이시티/주상복합,37.274548,127.115051,2,11133,기흥 롯데캐슬레이시티
경기 광명시 소하동 1384,37.432087,126.877922,2,11156,광명동굴 제3공영주차장
경기 용인시 처인구 역북동 757,37.231056,127.187233,2,11159,이마트 용인점 옆
경기 용인시 기흥구 마북동 325-3 구성농협,37.294193,127.114082,2,11165,구성 하나로마트
경기 수원시 권선구 호매실동 1400-1,37.259136,126.962715,2,11181,수원 호매실능실마을
경기 파주시 금촌동 329-40,37.766907,126.776497,2,11182,금촌역 2번출구
경기 동두천시 지행동 721-2 지행역프라자,37.89196,127.05468,2,11183,지행역 1번출구
경기 수원시 팔달구 인계동 1115-6,37.264622,127.035217,2,11201,효원공원 옆
경기 용인시 처인구 마평동 625-6,37.234425,127.212715,2,11202,용인 제일교회사거리
